ven_d,model_d,tac_d
videocon,infinium z51 nova plus,91145370
sonim,xp5,35162208
micromax,canvas pace 4g q415,91146310
yezz,cc40,35770807
huawei,enjoy 5s lte dual gr3 tagl32,86120003
samsung,galaxy s5 4g smg900s,35193206
spice,xlife 520 hd,91148390
karbonn,alfa a110,91145515
karbonn,alfa a110,91146125
fly,stratus 8 fs408,35881108
asus,zenfone go zb450kl dual x009dd,35151608
fly,tech iq280 skyworth a090,86299901
huawei,honor 3x dual g750t01,86706702
huawei,honor 3x dual g750t01,86516802
huawei,enjoy 6 ncetl00,86166703
blu,studio g4,35888309
explay,fin dewav e33,86227002
wiko global sasu,wiko u feel go,35389908
samsung,galaxy j5 lte dual smj500bt,35213907
samsung,galaxy j5 lte dual smj500bt,35214007
intex,aqua g2,91150350
vivo,y22il,86568202
infinix,hot 4 pro,35478208
blu,advance 40 l a010l a010u,35199107
lg,stylo 3 cricket m430,35611408
huawei,gt3 nmol01,86091503
karbonn,titanium s15 ultra,91145635
alcatel,u5 hd dual 5047i,35846808
panasonic,eluga s mini,35957006
iball,andi avonte5,91145025
huawei,ideos x5 pro,35766504
samsung,galaxy j7 lte dual smj700fdd1,35230707
samsung,galaxy j7 lte dual smj700fdd1,35230607
samsung,gear s smr750k,35583306
motorola,moto x style xt15722,35415007
samsung,galaxy ace 3 duos gts7272c,35983005
samsung,galaxy ace 3 duos gts7272c,35983105
motorola,moto g6 plus dual xt19262 xt19263,35187109
motorola,moto g6 plus dual xt19262 xt19263,35185409
lenovo,s650 multiple a316,86263502
alcatel,idol 4s 6070o,35743607
huawei,y5 2017 dual myau29,86781803
huawei,y5 2017 dual myau29,86394103
micromax,smarty 40 a68,91124370
intex,aqua craze ii,91153570
huawei,g8 tdlte dual riocl00,86818002
iball,bravo2 18l,91143130
huawei,nova 2 lite m950,86924303
spice,stellar horizon pro mi505,91131325
asus,zenfone 3 ze520kl z017da,35902707
leagoo,lead 1,35890206
samsung,galaxy tab a 97 smp557,35970306
spice,boss dura 4 m5251,91134000
oysters,pasific 800,35863105
lava,iris 402,91132890
lava,iris 402,91132830
huawei,honor 9 lite lldal10c1,86632003
lenovo,moto c plus dual xt17231,35183109
karbonn,a108,91146350
karbonn,a108,91140510
lg,g3 dual lte d856,35666706
lg,g3 dual lte d856,35666806
iball,wink 4g,91154060
panasonic,eluga u,35402306
motorola,moto g6 dual xt19251,35415009
motorola,moto g6 dual xt19251,35187209
zte,blade q maxi,86217702
blackview,bv5800 pro,35828109
samsung,galaxy s8 tdlte sghn171,35635508
allview,e3 jump,35450308
karbonn,a51 plus,91141965
lg,l40 d160j,35357606
lg,g4 us991,35790406
karbonn,titanium s2,91131140
lg,x screen dual k500y,35802907
huawei,honor 5x lte kiwl21,86924202
huawei,y9 2019 jkml4ca,86494504
asus,zenfone 3 deluxe zs550kl z01fd,35158908
htc,desire 626 0pkx2102,35292907
huawei,p9 lite vnsl22,86091903
lenovo,vibe z2,86533002
htc,desire 820 d820ts,35611406
htc,desire 820 d820ts,35611306
alcatel,a5 led dual 5085i,35433508
intex,aqua amaze plus,91156100
alcatel,316d,86733601
vivo,y31i,86884402
lg,k5 lgx220mb,35739607
lenovo,moto e4 dual xt1761,35563808
lenovo,moto e4 dual xt1761,35650608
huawei,p30 eleal003,86939004
blu,neo 45,35235805
blu,neo 45,35378706
coolpad,7230,86718301
coolpad,7230,86514201
allview,p8 energy pro,35837407
lg,g pad f 80 lte uk495,35911206
intex,cloud glory 4g,91151530
huawei,nova plus mlal02,86134603
samsung,galaxy mega 63 gti9208,35629205
micromax,canvas duet 2 eg111,91990290
micromax,canvas duet 2 eg111,91132645
kazam,thunder 340w,35555406
huawei,honor play cortl10,86028504
huawei,honor play cortl10,86974203
samsung,galaxy a7 tdlte duos sma7009,35676006
lenovo,moto g5 dual xt1675,35187008
samsung,primo duos schw279,35986904
samsung,primo duos schw279,35894804
huawei,y3ii lte lual131,86359203
lg,x style dual k200dsf,35893407
lg,x style dual k200dsf,35898208
kenxinda,m9,86122802
kenxinda,m9,86196801
micromax,cg777,91144335
motorola,moto e5 play xt19216,35183809
wileyfox,swift,35444707
htc,butterfly s 919d,35962205
lg,isai fl lgl24,35343206
blu,win jr,35590806
huawei,em770w,35778904
alcatel,1x 2019 5008t,35172610
spice,qt53,91113560
homtom,ht26,35254809
coolpad,9100,86141800
samsung,galaxy mega 58 lte gti9158v,35398306
lg,k4 2017 m151,35457608
asus,zenfone 2 laser 55 ze550kl z00ld2,35486507
blu,studio mini lte,35617606
kazam,life b1,35555206
prestigio,multipad visconte 4u pmp1010,35660407
huawei,b593 b593s516,86256202
huawei,me906v,86813901
samsung,galaxy fame duos gts6812i,35564405
samsung,galaxy fame duos gts6812i,35564505
micromax,x252,91142785
micromax,x252,91136735
allview,p6 emagic,35837207
allview,v2 viper s,35451208
xiaomi,redmi note 4g 20140211,86671302
blu,energy diamond mini,35952707
blu,energy diamond mini,35226108
lenovo,s60t,86605802
htc,desire 626 dual d626h 2pvg100,35729007
htc,desire 628 dual 2pvg200,35729207
htc,desire 628 dual 2pvg200,35646308
nokia,ta1028,35680408
huawei,mediapad x1 70,86563302
jiayu,s3,86638302
htc,desire 500 dual 509d,35703105
bq mobile,aquaris e4,35420006
intex,cloud 4g star,91149755
huawei,mediapad 7 vogue s7602u,86064802
samsung,galaxy win pro duos 2g smg3819,35194306
samsung,galaxy win pro duos 2g smg3819,35241806
samsung,galaxy core prime ve smg361huds,35196407
samsung,galaxy core prime ve smg361huds,35196507
htc,u11 eyes 2q4r100,35322309
huawei,me909tu565,86722402
huawei,ascend y200 u86551,86189501
lg,volt h420,35986006
lg,t510,35735104
karbonn,a7 turbo,91153940
samsung,galaxy core 2 duos smg3558u,35328206
samsung,galaxy core 2 duos smg3558u,35328106
huawei,honor 4a lte scll52,86110503
doogee,s70,35221310
asus,zenfone selfie dual zb551kl x013dc,35523007
general mobile,discovery ii,35249006
general mobile,discovery ii,35670206
blu,vivo 5,35810407
lg,t580,35797805
jiayu,g3,86813001
lg,nexus 5 d8202,35823905
gigabyte,gsmart aku a1,35777005
samsung,galaxy j7 2017 dual smj730gds2,35270309
lg,stylus 2 plus dual k535,35938307
intex,aqua s7,91153120
lenovo,tab 2 lte dual 501lv 502lv,86765102
htc,one m8 dual m8e,35169306
asus,zenfone 2 ze500cl z00d2,35707206
mts,smart start 3 blade l110,86186603
lenovo,p2 p2a42,35330608
lg,l30 dual d125g,35454306
lg,optimus true hd 4g p936,35248205
doogee,x9 pro,35463808
philips,s358,86076203
obi,s502 leopard,91139540
alcatel,1060d dual 1061d dual,86043802
alcatel,1060d dual 1061d dual,86054502
huawei,gr5 2017 dual blll23,86249903
asus,zenfone max m1 zb555kl1,35566809
asus,zenfone max m1 zb555kl1,35454009
acer,liquid z6303,35277407
asus,zenfone selfie zd550kl,35269007
hk darago technology co limited,215i2151056s107,35168107
highscreen,verge,35682406
blu,studio 50 ce,35525306
vodafone,smart prime 7,35719808
huawei,ascend g7 g760tl00,86520602
huawei,ascend g7 g760tl00,86778002
vivo,y66il,86391703
lg,optimus sol e730f,35843504
fly,tornado one iq4511,35744806
lg,p655,35804005
hisense,t5 plus,86678903
maxcom,mm721,35479407
asus,zenfone 3 max zc553kl dual x00dd,35211108
alcatel,1x 2019 5008d,35165310
huawei,gt3 dual nmol22,86090803
intex,aqua eco 3g,91152855
wexler,l9 eplutus g37,35747805
motorola,moto x style xt1572 xt1575 c5l1a3r9k,35898606
fly,stratus 4 fs405,35840507
samsung,galaxy j7 core smj701f1,35536509
motorola,droid razr m xt902,35252405
htc,desire 610 0p9o200,35682105
irbis,tz53,35300306
asus,memo pad fhd 10 me302kl,35623905
philips,w725,86867800
lenovo,moto e3 xt1700,35818607
zen,admire punch,91153675
videocon,infinium z40 pro,91139460
lg,g6 dual h870s h870dsu,35745708
lg,g6 dual h870s h870dsu,35965308
doogee,x6,35696707
onn,k7,86012402
micromax,canvas tab p702,91149555
huawei,mate 8 nxtal10b1,86923102
samsung,galaxy a7 2016 sma710m2,35672107
karbonn,k64,91131790
infocus,m210,35265106
samsung,galaxy core prime tdlte smg3608i,35946606
samsung,galaxy core prime tdlte smg3608i,35946706
general mobile,5 plus,35865507
htc,titan pi39100,35776004
alcatel,3l dual 5034d,35570109
alcatel,tpop dual 4010d 4011d,86929601
alcatel,tpop dual 4010d 4011d,86014002
gionee,s6 pro,86187703
asus,pegasus x002,35694806
texet,xsquare tm4972,35891506
alcatel,pixi 4 50 dual 5045j,35662607
alcatel,pixi 4 50 dual 5045j,35322508
blu,dash l d050l d050u,35480507
lenovo,moto c plus dual xt1724,35564708
alcatel,x602dx232d,86434302
philips,t939,86923201
huawei,p smart 2019 potal00,86891204
lg,optimus l1 ii dual e420,35767505
lg,optimus l1 ii dual e420,35338306
samsung,galaxy r style dual shve170l,35995304
lenovo,moto z2 play xt1710091,35650108
blu,vivo 5 mini,35592808
blu,vivo 5 mini,35523709
huawei,enjoy 8e atutl10,86824303
huawei,enjoy 8e atutl10,86824403
blu,studio selfie 2,35153608
samsung,galaxy ace duos cdma schi589,35909904
samsung,galaxy ace duos cdma schi589,35820404
alcatel,a3 plus 5011a,35826908
fly,mc165,86952100
coolpad,7235,86061502
coolpad,7235,86841201
samsung,galaxy tab 77 4g gtp6800,35846204
huawei,honor 8a pro jatl41,86763804
huawei,honor 8a pro jatl41,86574804
lava,a67,91150655
blu,life view l110,35760405
blu,life view l110,35760605
intex,aqua i5 hd,91137660
kazam,life b4,35254706
samsung,galaxy s5 active smg870f,35268206
ulefone,gemini,35739708
highscreen,alpha rage green orange go m1,86447701
meizu,mx4 m460a,86600702
htc,u11 2pzc2002,35736608
freetel,priori 3 lte ftj152a,35456607
myphone,classic,35621108
huawei,me906e,86671401
philips,w626,86095001
sony,xperia sl,35361705
fly,pronto iq449,35981005
huawei,honor 7 standard edition dual tdlte plkcl00,86694302
philips,xenium e168,86995204
philips,xenium e168,86500803
lava,iris 414,91140865
blu,life one x3,35435809
blu,studio j8 lte,35234909
blu,advance l4 a350a a350i a350b,35231910
micromax,canvas 2 a110,91130690
micromax,canvas 2 a110,91123925
intex,aqua i15,91136175
motorola,moto e5 play xt192017,35553309
alcatel,a3 dual 5046u,35515808
huawei,honor 5a lyol211,86255203
keneksi,zetasigmafire,35911105
panasonic,p88,35414908
panasonic,eluga pulse x,35724908
sony ericsson,ck15i,35798604
xiaomi,redmi 2 hongmi 2 20148131,86632802
lava,a79,91151200
prestigio,multiphone 3404 duo,35591906
micromax,x556 dual,91153200
doogee,f5,35644907
sony,xperia z1f docomo so02f1,35983007
xiaomi,mi 4 lte,86537202
prestigio,multiphone 4044 duo,35838305
lenovo,a750e,86057502
micromax,x243,91144905
micromax,x243,91138060
gionee,m6 marathon m6 7551,86257203
htc,desire 608t cp3,35639405
htc,desire 608t cp3,35860505
huawei,enjoy 9s potal00a,86862904
huawei,enjoy 9s potal00a,86952604
samsung,galaxy core prime ve lte smg361fydd,35231607
samsung,galaxy core prime ve lte smg361fydd,35231707
philips,xenium w632,86188401
karbonn,a40 indian,91161055
karbonn,a40 indian,91158295
prestigio,multipad wize 3787 3g,35506607
spice,stellar 362 mi362,91140905
kazam,thunder 450wl,35824906
panasonic,p81,35354506
huawei,ascend y100 u81851,86288601
huawei,p30 lite marlx2m1,86380304
huawei,honor 3 hn3u01,86457201
huawei,p9 a168l19,86982602
samsung,galaxy s7 bell mobility smg930w8,35625207
motorola,moto g7 plus xt19653 xt19654,35557509
motorola,moto g7 plus xt19653 xt19654,35557809
haier,w820,86866101
lenovo,tab 2 a850 a850h,86668402
samsung,galaxy j5 lte dual smj500fdd2,35267207
samsung,galaxy j5 lte dual smj500fdd2,35267307
samsung,galaxy mega 63 4g shve310s,35641605
samsung,galaxy s5 wimax 2 scl23,35356506
lg,stylo 2 l82vl,35586507
sony,xperia xz2 pm1118bv h8266,35470109
xolo,x900,91120250
karbonn,a8 plus,91143090
zte,mf253s,86878402
philips,xenium x333,86515201
yu,yunique dual yu4711,91150895
allview,a6 duo,35418107
htc,u12 life 2q6e100,35703309
coolpad,7728,86362501
pipo,p9,35712405
shenzhen sugar mobile communication co ltd,sugar f7 mini,86252303
shenzhen sugar mobile communication co ltd,sugar f7 mini,86333803
alcatel,5 5086a,35424509
huawei,enjoy 5s lte dual tagtl001,86316703
samsung,galaxy grand gti9118,35842505
lg,q6 m700n,35872908
lg,f70 d315k,35343006
sony,xperia v lt25c,35438705
acer,liquid z2,35504205
lg,k10 2017 dual m250i m250dsn,35495008
lg,k10 2017 dual m250i m250dsn,35495108
meizu,pro 6s m570qs,86546603
meizu,pro 6s m570qs,86245203
videocon,v1408,91111255
prestigio,wize k3 psp3519duo,35772807
doogee,dg320,35715507
lg,l65 dual d285f,35379306
samsung,galaxy alpha smg850k,35459606
fly,life compact,35558809
beeline,pro 2,86718402
lg,watch urbane 2 w200,35585607
samsung,galaxy tab s 84 lte sc03g,35405606
micromax,bolt ad4500,91138825
bq mobile,aquaris e50 4g 16gb,35385908
beeline,a106,35573005
allview,v2 viper,35449307
qmobile,b255,35486606
htc,desire xc t329d,35428305
micromax,x258,91136785
micromax,x258,91133530
huawei,nova canl11,86239703
samsung,gtc3595v,35849805
lg,x style l56vl,35849807
samsung,galaxy k zoom lte smc1158,35297206
htc,windows phone 8s pm59130,35376105
samsung,galaxy grand dual schi879,35558205
coolpad,5832,86676501
coolpad,5832,86200401
huawei,mate 10 lite rnel03,86622503
crosscall,trekker x2,35533407
karbonn,titanium s9,91133300
panasonic,kxtu320,35312605
meizu,m1 metal m57au,86885702
asus,zenfone zoom zx551ml z00xsb,35476107
samsung,gts5296,35558605
samsung,gts5296,35558705
huawei,honor 4a lte scll04,86797402
sharp,aquos phone xx softbank 302sh,35658405
lenovo,moto z play droid dual xt16351,35819707
asus,zenfone 3 max zc553kl dual x00dda,35231908
micromax,x805,91144695
huawei,honor plus t8950,86749501
nokia,ta1052,35854108
wiko global sasu,wiko harry,35725108
zte,star 2 s2005,86599802
samsung,galaxy schr530schr830schr970cschs968smn900sphl710sphl720t,99000443
zte,blade a610 a610c,86020203
coolpad,blazers 4 5219,86311502
infocus,m812a1,35875907
huawei,y6 ii compact lyol21,86510303
huawei,u8686,86175000
lg,x power dual k220ds,35175609
lg,x power dual k220ds,35893907
lenovo,k800,86174001
huawei,nova 2i rnel22,86938003
samsung,galaxy note 101 4g shve230k,35466805
samsung,galaxy j5 lte smj500y,35311707
asus,zenfone 4 selfie lite zb520kl,35267209
lava,a44,91158180
huawei,mediapad 7 lite s7933u,86840901
samsung,galaxy a3 2016 duos sma310mds,35551107
samsung,galaxy a3 2016 duos sma310mds,35551207
blu,studio g3,35381609
huawei,mediapad x1 70 7d501g,86409102
alcatel,one touch pop c2 4032x,86474602
zte,blade q lux 4g,86667102
lyf,flame 5 ls4002,91150085
lg,x cam k580y,35848707
meizu,m2 m578ma,86843002
htc,one m8 0p6b670,35870506
blu,advance a5 plus lte a0031ww,35226709
zte,axon 7 a2017g,86095203
intex,aqua 45e,91147040
intex,aqua 45e,91142315
sony,xperia c4 e5303,35219407
coolpad,5870,86540401
huawei,h350l,86470802
samsung,galaxy view smt677y,35709507
vodafone,smart tab 4,35324406
mts,smart sprint 4g,86847402
bassoon,p1000,86123202
bassoon,p1000,86361502
samsung,galaxy note 8 dual smn950fds2,35573209
samsung,galaxy note 8 dual smn950fds2,35573109
fly,ds128 tinno b2060,86067902
doogee,x20l,35986208
shenzhen sugar mobile communication co ltd,sugar y7 max,86368703
doogee,x5 max,35173508
samsung,galaxy tab a 97 lte smp555y,35957906
intex,aqua lions n1,91161095
micromax,x253,91136135
micromax,x253,91140815
huawei,p9 evaal001 evaal101,86915802
huawei,p9 evaal001 evaal101,86915402
zte,illustra z788g,86848201
coolpad,8180,86291501
huawei,mate 20 hmaal005,86260404
lg,g5 acg as992,35829207
samsung,galaxy note 9 smn960u2,35758409
lava,flair e1,91144880
kazam,trooper2 60,35275506
explay,tv245 dewav p33,86448902
huawei,honor 6x blnl221,86251203
spice,m5460,91114355
lg,g4 beat g4s h734,35367207
haier,g50l54,86205403
zte,blade af31,86354202
elephone,p9000 lite,35789607
micromax,canvas spark 2 plus q350,91150590
micromax,canvas spark 2 plus q350,91151770
fly,b300,86845200
qmobile,g400,35361806
zte,mf90c1,86405102
micromax,x707 dual,91153995
shenzhen uhans technology co limited,uhans u200,35787407
emporia,elegance plus v36,35880904
amoi,f203,86844100
vodafone,smart ultra 7 vfd 700,35704207
wileyfox,spark x,35179708
cubot,x9,35942406
vertu,constellation t,35828904
panasonic,eluga i3,35809107
lg,stylus 3 m400y,35595908
spice,xlife 46q m46q,91148350
huawei,ascend y101 u81865,86375801
huawei,honor 8x jsnal00a3,86522604
samsung,schi535 schi905 schlc11 schr930 sphl710 sphl700 schi405 schr530 schr920,99000115
zte,star 2 star ii g720t,86602902
alcatel,one touch pop star 3g dual 5022d,35293307
meizu,m1 note dual lte m463m,86618402
tplink,neffos y50 tp803a,86239903
lenovo,moto g5 plus xt16861,35189208
nokia,lumia 735 rm10382,35186207
nokia,61 ta1016,35855208
lenovo,moto c dual xt1757,35411909
lenovo,moto c dual xt1757,35956108
archos,50 cobalt,35743807
huawei,e8231s81,86900502
panasonic,eluga z1 pro,35249610
huawei,honor play coral001,86940903
huawei,honor play coral001,86940803
alcatel,a7 xl 7071x,35466908
htc,droid dna pl83200,35287805
wiko,rainbow lite1,35157707
huawei,mediapad 7 youth 2 s7721ua,86539202
acer,liquid e600,35244106
huawei,nova 2 plus bactl00,86727603
allview,p9 life,35313909
huawei,honor 8x max areal00,86977403
huawei,honor 8x max areal00,86079604
motorola,xt882 swordfish,35471104
motorola,moto g7 power dual xt19556,35953109
motorola,moto g7 power dual xt19556,35953209
samsung,galaxy tab a 2016 70 smt287,35776107
myphone,csmart iv,35307909
huawei,ideos x3 u85107,86008701
videocon,infinium z45 dazzle,91148510
acer,liquid m3301,35292207
fly,stratus 7 fs458,35883308
lg,optimus sol e730,35810304
nokia siemens networks,lte cpe 7212,35840404
lenovo,a656,86073202
huawei,e5776s860a,86610101
iball,andi 35v genius2,91144655
oppo,r7sf,86088803
oppo,r7sf,86793402
lava,ivory s 4g,91150140
lava,iris 100 lite,91143780
fly,energie iq440,86629801
samsung,galaxy note 3 neo ltea smn750k,35260906
iball,posh 28d,91141010
xolo,q510s,91136930
coolpad,7061,86542302
huawei,e5573 e5573s508,86742102
sony,xperia x compact so02j pm0971bv1,35896907
huawei,p10 lite waslx2,86406303
huawei,ascend p1 4g u9202l4,86726701
alcatel,u3 4055a,35363108
htc,u11 2pzc1001,35999908
infocus,m510t,35376406
infocus,m510t,35190206
motorola,moto e5 plus xt192461,35189309
sony,xperia zl c6502,35538705
doro,phoneeasy 505,35792604
fly,e140,35713604
wiko,iggy,35485706
spice,stellar 518 mi518,91141210
fujitsu,f04j,35177809
huawei,p smart dual figla11,86957703
huawei,p smart dual figla11,86583703
vivo,x9 plus1,86455003
huawei,p10 lite dual waslx1a,86331303
huawei,p10 lite dual waslx1a,86309403
myphone,hammer titan 2,35227609
gionee,m2017,86299903
alcatel,x602e,86456002
gionee,f5l,86249203
coolpad,6056,86807901
motorola,v14w cupe,35156904
samsung,galaxy exhilarate sghi5771,35536705
huawei,honor 8 dual frddl00,86996302
philips,i928,86920202
samsung,galaxy s4 4g sms975l,35189206
micromax,canvas 5 e481,91145755
gionee,pioneer p5w p5w1,86924402
lg,vs910,35661404
sony ericsson,walkman w8 e16a,35773804
konka,v5320,86776501
huawei,e5776s601,86027402
lenovo,k6 dual k33a481,86157603
lg,l bello dual d335 d335e,35834206
lg,l bello dual d335 d335e,35641706
blu,studio one plus,35613707
xiaomi,redmi s2 m1803e6sg,86814103
xiaomi,mi 9 m1902f1g,86130504
xiaomi,mi 9 m1902f1g,86989004
huawei,y625 dual y625u43,86633902
leagoo,elite 4,35436707
wiko,sunset 2,35795607
lenovo,a516,86118802
samsung,galaxy s9 smg960u7,35792909
ulefone,power,35952007
huawei,e5373 tdscdma,86220102
huawei,ascend y300 y300c,86904601
zte,v880s,86877601
huawei,mediapad t1 10 t1a23l,86727902
alcatel,pixi 4 50 dual 5045d,35662807
htc,desire 820 mini d820mt,35276606
samsung,galaxy j3 2018 smj737a,35480709
archos,50 platinum 4g,35933207
lenovo,vibe x2 x2tr,86537402
leagoo,t5,35195509
sony,xperia z2 l50w d6502,35249406
samsung,galaxy tab s 105 smt807j,35613606
intex,aqua i14,91138335
alcatel,fire c 4019x,86363502
micromax,x085,91136400
micromax,x085,91131580
htc,desire eye 0pfh110,35528206
lenovo,moto c plus dual xt17211,35652108
gigaset communications gmbh,gigaset me pro,35167207
samsung,galaxy tab s3 lte smt825no,35560508
htc,desire 728 2pq8400,35773007
micromax,canvas doodle 4 q391,91143370
blackview,bv6000,35168610
blackview,bv6000,35737408
micromax,canvas play 4g q469,91144775
blackberry,passport silver edition lte sqw1004,35791706
lg,k10 lte k430h,35772107
intex,aqua r3,91141555
samsung,galaxy a9 2018 sma920n1,35356910
samsung,galaxy j5 prime dual smg5700,35181008
samsung,galaxy j5 prime dual smg5700,35181108
samsung,galaxy j3 2017 dual smj3300,35807408
samsung,galaxy j3 2017 dual smj3300,35807508
xiaomi,redmi s2 m1803e6h,86871403
xiaomi,redmi s2 m1803e6h,86944603
hisense,t5,86653903
gionee,f5,86339703
huawei,honor 7c lndtl40,86723603
huawei,honor 7c lndtl40,86818903
samsung,galaxy s ii duos schi929,35889304
samsung,galaxy r style shve170k,35996404
highscreen,bay,35668807
sony,xperia t3 m50w d5102,35412706
lenovo,moto c dual xt17571,35562708
karbonn,titanium pop s315,91144800
samsung,galaxy music duos gts6012,35337805
samsung,galaxy music duos gts6012,35337905
panasonic,eluga ray 600,35250510
lg,g4 stylus h635,35243107
google inc,pixel 3 xl g013d,35812409
lenovo,yoga tablet 2 pro1380l,86558002
prestigio,wize q3 psp3471duo,35802009
zte,axon lux dual axon tianji tdlte a2015,86384603
panasonic,eluga a,35484806
alcatel,idol 4s dual 6070k,35657507
htc,desire 816 dual d816t,35346306
htc,desire 816 dual d816t,35224806
huawei,nova cazcl00,86221103
huawei,e3131 e3131s65,86272001
oppo,mirror 5s,86728802
lenovo,phab plus tdlte dual pb1770n,86697602
huawei,mate 9 dual mhaal003,86422903
xiaomi,redmi note 6 m1806e7ts,86903703
alcatel,pixi 4 55 5048d,35169508
philips,x2566,86999202
micromax,canvas blaze mt500,91134785
micromax,canvas blaze mt500,91990410
cubot,dinosaur,35948707
lg,g pad 83 lte vk810,99000262
bq mobile,aquaris e5s,35462807
sony,xperia e4g dual e2043,35960106
huawei,ascend y100 u81855,86288401
lg,spirit 4g h440v,35919406
alcatel,a5 led 5085g,35757208
acer,liquid z6302,35278507
huawei,p30 lite marlx2j1,86993004
huawei,p30 lite marlx2j1,86929804
sony,xperia z5 e6603 pm0901bv,35250407
huawei,ea660137,86846201
huawei,k3773 vodafone k3773,86832800
fly,ds125,86206501
fly,ds125,86869201
allview,m9 jump,35450508
xolo,a1000,91125975
myphone,infinity iis,35905107
texet,xmaxi tm5072,86823601
intex,aqua ace ii,91149995
iball,cobalt solus 4g,91146590
huawei,honor 8c bkklx2,86220104
allview,v1 viper e,35768807
nokia,lumia 930 rm1087 930,35424406
samsung,galaxy alpha smg8509v,35468006
panasonic,eluga i2,35336907
panasonic,eluga i2,35835508
iball,andi 5m xotic 2gb,91143330
gigabyte,gsmart mika mx,35856106
explay,sl240,86403001
lg,gx f310lr,35347206
alcatel,y854vb,35881106
lenovo,moto g4 play dual xt1601,35413907
lenovo,moto g4 play dual xt1601,35821907
samsung,galaxy a7 duos sma700h,35620906
samsung,galaxy a7 duos sma700h,35621006
micromax,x456,91123960
huawei,ascend y540 y540u01,86663102
wiko,tommy,35781007
asiatelco technologies co,wm5509,86377902
lg,g2 mini 4g d620k,35293006
lava,x50 plus,91153835
huawei,e5172s22,86855501
motorola,moto g7 power dual xt1955dl,35952909
yezz,andy 35 e2i am35e2i043,35851006
yezz,andy 35 e2i am35e2i043,35743606
lenovo,s750,86188801
vivo,v1 2015,86772602
vivo,v1 2015,86772502
micromax,bolt ad3520,91138575
acer,liquid z4 duo z160,35245406
alcatel,one touch pop c3 dual ot 4033d,86054602
alcatel,one touch pop c3 dual ot 4033d,86215002
lg,optimus vu ii f200s,35396205
intex,aqua r2,91142350
philips,w727,86814000
asus,zenfone 5z zs620kl z01rd,99001198
huawei,e5577 e5577s324,86412503
samsung,galaxy young gts6310b,35640705
bocoin,asha2002,35734305
bocoin,asha2002,35520006
htc,10 2ps6700,35751107
asus,zenpad 80 z380kl p024,35152807
lg,k4 lte k120gt,35827007
zen,desire strong,91155040
zte,small fresh 4 bv0701,86194803
zte,small fresh 4 bv0701,86348403
intex,aqua view,91151755
blu,life pure mini l220a l220i,35195206
lava,iris 370,91142165
tecmobile,titan 600,35347507
lg,g5 lite h848,35798007
htc,desire 210 0pd2100,35313106
htc,desire 210 0pd2100,35870006
lg,g5 h860n,35839607
lava,iris 404 flair,91139740
asus,zenfone 3s max zc521tl x00gd,99000954
asus,zenfone 3s max zc521tl x00gd,35528708
obi connect fze,obi worldphone mv1,91149915
leagoo,shark 5000,35727308
htc,u11 eyes 2q4r300,35398409
karbonn,titanium s320,91144205
senseit,e500,35319407
senseit,e500,35319507
lava,flair p1i,91146205
samsung,galaxy j1 lte smj100y,35892606
vivo,y31l3,86955602
lava,v5,91149835
intex,aqua q8,91153730
tplink,neffos x1 max tp903a,86333303
gionee,e106,86635000
samsung,z4 dual smz400yds,35797008
samsung,z4 dual smz400yds,35796908
blu,life one x2,35434808
blu,life one x2,35468608
yezz,andy 5ei3 am5ei3047 am5ei3043,35612607
lenovo,tab 2 a1070 4g,86803703
intex,aqua power m,91152815
hyundai,e545 glo,35824807
blu,energy x lte,35810207
phicomm,c1230l dragons 6plus,86039003
intex,aqua power iv,91158500
lenovo,moto z2 china xt171010,35649208
samsung,galaxy s10 plus smg975u1,35269510
huawei,mediapad x1 70 7d503lt,86466602
blackberry,q5 sqr1003,35696905
micromax,canvas win w092,91138190
huawei,mate 8 nxttl00,86840302
huawei,mate 8 nxttl00,86299003
myphone,pocket,35480608
lenovo,ma169 multiple ma388,86293802
zte,axon max tdlte dual c2016,86876602
huawei,ascend g620 lte g620a2 h891l,86616402
alcatel,385d,35696804
alcatel,385d,86238501
wiko,lenny dual,35359707
samsung,smg9098,35978805
samsung,smg9098,35982905
qube electronics,b5,35308706
samsung,galaxy ace plus gts7508,35156805
intex,aqua y2 1 gb,91143740
samsung,galaxy infinite schi759,35842105
samsung,galaxy infinite schi759,35506305
samsung,galaxy note 5 ltea smn920f,35232007
ginzzu,s5110,35226808
blackview,a10,35474509
lg,g3 d852g,35460906
karbonn,a41 power,91158805
blu,vivo 43 d910i d910a,35469005
kazam,thunder2 50,35314006
doogee,bl9000,35834509
bocoin,w888,35176806
coolpad,8150d,86815201
lg,prime plus h522f,35172707
samsung,galaxy s7 smg930s1,35431708
sony,xperia m5 dual e5643 pm0871bv,35419207
oppo,neo 5 r831s2,86567502
huawei,y6 2019 mrdlx1n,86694504
samsung,galaxy a70 sma705fn,35592110
intex,aqua extreme ii,91144615
alcatel,one touch pop 3 55 3g 5025d 5025n,35150607
alcatel,one touch pop 3 55 3g 5025d 5025n,35277507
asus,zenfone max m1 zb555kl5,35742909
asus,zenfone max m1 zb555kl5,35195810
shenzhen sugar mobile communication co ltd,sugar f7,86962902
telit,he910eug,35268105
myphone,qsmart plus,35862308
samsung,gear s3 classic lte smr775v,35749908
doogee,s70 lite,35265110
huawei,ascend y201 pro u866651,86368501
lg,g5 h860,35839407
micromax,canvas mega 2 q426,91149530
